/v/	-- 0.1718468537233231
/pol/ 	-- 0.1447634663689646
/vg/	-- 0.1083789755888113
/b/ 	-- 0.007033547892067
/sp/	-- 0.0848438330282813
/int/	-- 0.079821873204367
/a/	-- 0.2629857637552905
/tv/	-- 0.3557440439066983
/mu/	-- 0.2144707160163756
/r9k/	-- 0.1234799713876967
/trash/	-- 0.0153133903133903
/co/	-- 0.1730383356215017
/tg/	-- 0.0711192538307795
/biz/	-- 0.152089552238806
/fit/	-- 0.2115223835220795
/g/	-- 0.2173580869432348
/bant/	-- 0.0460813992600067
/k/	-- 0.0842696629213483
/vp/	-- 0.2032550627407131
/jp/	-- 0.1354471294443589
/gif/	-- 0.1828183141886426
/x/	-- 0.1325921008961168
/asp/	-- 0.3414341947629642
/lgbt/	-- 0.2108585858585859
/his/	-- 0.2988090941898232
/ck/	-- 0.2409117704853606
/lit/	-- 0.2176649746192893
/o/	-- 0.0892857142857143
/mlp/	-- 0.2193283070596299
/soc/	-- 0.2251887810140237
/s4s/	-- 0.062943011057556
/adv/	-- 0.1145625534340268
/qst/	-- 0.0094032549728752
/m/	-- 0.0924214417744917
/aco/	-- 0.4506307090039147
/fa/	-- 0.10259797446059
/s/	-- 0.4645917907081642
/sci/	-- 0.4185929648241206
/r/	-- 0.0037214247740564
/vr/	-- 0.3166397415185784
/qa/	-- 0.52423900789177
/toy/	-- 0.0918176139912555
/ic/	-- 0.1045178691840863
/d/	-- 0.4993141289437586
/wsg/	-- 0.1262002743484225
/h/	-- 0.623696682464455
/an/	-- 0.089119170984456
/cgl/	-- 0.2723404255319149
/c/	-- 0.2649379932356257
/hr/	-- 0.0546583850931677
/u/	-- 0.2934210526315789
/out/	-- 0.1483679525222552
/wg/	-- 0.2180094786729858
/diy/	-- 0.2218649517684887
/wsr/	-- 0.0353817504655493
/p/	-- 0.1680327868852459
/hc/	-- 0.4288659793814433
/trv/	-- 0.1805869074492099
/hm/	-- 1.267281105990783
/e/	-- 0.2995391705069124
/n/	-- 0.0860759493670886
/cm/	-- 0.1928934010152284
/y/	-- 0.4663072776280323
/news/	-- 0.4024767801857585
/f/	-- 0.1058823529411765
/3/	-- 0.0609756097560976
/w/	-- 0.4769230769230769
/i/	-- 0.3125
/t/	-- 0.576
/gd/	-- 0.2058823529411765
/po/	-- 2.666666666666667
/vip/	-- 0.2272727272727273
